"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,       "HF"       ,      "maxHF"     
          0,           0,          30,       -7.96620712,      -8.158795888,       -8.03718833,      -7.569068845,      -12.91737842,       -2.19254195,   7.328567412e-05,     0.03582665947,        191.943425,        191.943425,        191.943425,   1.105948019e-06,       4.458701811,      0.3199660858,                 0,                 0,                 0,      -2.207903981,       4.458701811,      0.3199660858,                 0,     0.07176216291,      0.3506493895,      -1024.832837,       88035.79086
          0,           0,          31,       -7.99774892,      -8.166609485,       -8.15485348,      -7.596132568,      -12.94306373,      -2.234343959,   8.061578772e-05,     0.03940852486,       211.1377675,       211.1377675,       211.1377675,   1.105948019e-06,       3.258145749,     -0.2852281992,                 0,                 0,                 0,      -3.506462882,       3.258145749,     -0.2852281992,                 0,    -0.08754310615,      0.3506493895,      -1044.981754,       89790.92954
          0,           0,          32,      -8.026086908,      -8.128283263,      -8.312111364,      -7.626664162,      -12.96813387,      -2.377908594,   8.868341262e-05,     0.04335965813,       232.2515442,       232.2515442,       232.2515442,   1.105948019e-06,       2.236904175,     -0.4281002195,                 0,                 0,                 0,      -3.197242562,       2.236904175,     -0.4281002195,                 0,     -0.1913806699,      0.3506493895,      -1063.555412,       91410.39974
          0,           0,          33,      -8.007692898,      -8.122289416,      -8.085094279,      -7.620370142,        -12.993337,      -2.447583443,   9.755553433e-05,     0.04771589381,       255.4766986,       255.4766986,       255.4766986,   1.105948019e-06,       1.646922026,      0.4168833006,                 0,                 0,                 0,      0.2925241955,       1.646922026,      0.4168833006,                 0,      0.2531287421,      0.3506493895,      -1079.218396,        92778.5565
          0,           0,          34,      -7.978128985,      -8.163176402,       -7.96831545,      -7.597462925,      -13.01765765,       -2.40513289,   0.0001073107601,     0.05250881686,       281.0243685,       281.0243685,       281.0243685,   1.105948019e-06,       1.354320159,       1.364507845,                 0,                 0,                 0,       3.927125132,       1.354320159,       1.364507845,                 0,       1.007522362,      0.3506493895,      -1092.079307,        93904.4049
          0,           0,          35,      -7.965791249,      -8.168430722,      -8.060908838,      -7.582123753,       -13.0423566,      -2.224421274,   0.0001180333161,       0.057771431,       309.1268053,       309.1268053,       309.1268053,   1.105948019e-06,       1.141594945,       1.589532417,                 0,                 0,                 0,       4.936320016,       1.141594945,       1.589532417,                 0,        1.39237864,      0.3506493895,      -1102.247575,       94796.86723
          0,           0,          36,      -7.969385909,      -8.149850079,      -8.399794124,      -7.583850636,      -13.06464383,      -2.134015666,   0.0001298288145,     0.06354680755,       340.0394859,       340.0394859,       340.0394859,   1.105948019e-06,      0.9361513672,      0.8324808946,                 0,                 0,                 0,       2.449225028,      0.9361513672,      0.8324808946,                 0,      0.8892588568,      0.3506493895,      -1108.826691,       95376.68622
          0,           0,          37,      -7.992186458,       -8.18637365,      -8.231737725,      -7.613846036,      -13.07966373,      -2.234373489,   0.0001428084315,     0.06989197405,       374.0434344,       374.0434344,       374.0434344,   1.105948019e-06,       0.788250223,     -0.3882787928,                 0,                 0,                 0,      -1.745905491,       0.788250223,     -0.3882787928,                 0,      -0.492583169,      0.3550741683,      -1111.533756,       95618.50416
          0,           0,          38,      -8.016179999,      -8.273303773,      -8.019837524,      -7.646589086,      -13.08792787,      -2.263673907,   0.0001570905041,     0.07687429205,       411.4477779,       411.4477779,       411.4477779,   1.105948019e-06,      0.7433230015,       -1.06966713,                 0,                 0,                 0,      -4.236120108,      0.7433230015,       -1.06966713,                 0,      -1.439034077,      0.3550741683,      -1112.001155,       95663.68954
          0,           0,          39,      -8.010731357,      -8.299186493,      -8.013585925,      -7.638268426,      -13.09041898,      -2.149416688,   0.0001728036431,     0.08456078501,       452.5925557,       452.5925557,       452.5925557,   1.105948019e-06,      0.9548510369,      -1.020263117,                 0,                 0,                 0,      -4.362229988,      0.9548510369,      -1.020263117,                 0,       -1.06850501,      0.3550741683,      -1110.782284,       95561.05404
          0,           0,          40,      -8.008719417,      -8.281198337,      -8.167280258,      -7.630500038,       -13.0911239,      -2.251167843,   0.0001900888045,     0.09301470164,       497.8518112,       497.8518112,       497.8518112,   1.105948019e-06,        1.42838291,     -0.2338182706,                 0,                 0,                 0,      -2.007342277,        1.42838291,     -0.2338182706,                 0,      -0.163694391,      0.3550741683,      -1109.405735,       95443.83891
          0,           0,          41,      -8.036413484,      -8.276258504,      -8.468610786,      -7.659723601,      -13.10012327,      -2.540347829,   0.0002090994462,      0.1023016445,       547.6369924,       547.6369924,       547.6369924,   1.105948019e-06,       1.819382009,       1.023725971,                 0,                 0,                 0,        2.23059315,       1.819382009,       1.023725971,                 0,      0.5626778578,      0.3550741683,      -1107.834121,       95309.34176
          0,           0,          42,      -8.090855367,      -8.276892307,       -8.43072707,      -7.728632189,      -13.11430188,      -2.576431861,   0.0002300043032,       0.112504346,       602.4006916,       602.4006916,       602.4006916,   1.105948019e-06,       1.535632428,       2.037600649,                 0,                 0,                 0,       6.195994041,       1.535632428,       2.037600649,                 0,       1.326880451,      0.3550741683,      -1106.973484,       95236.38164
          0,           0,          43,      -8.112357873,      -8.273400273,      -8.217661981,      -7.765525584,      -13.12700777,      -2.826395587,   0.0002530002142,       0.123721929,       662.6407608,       662.6407608,       662.6407608,   1.105948019e-06,      0.7992354086,       1.522471024,                 0,                 0,                 0,       4.906135319,      0.7992354086,       1.522471024,                 0,       1.904909376,      0.3550741683,      -1102.063183,       94811.88482
          0,           0,          44,      -8.160552093,      -8.337014425,       -8.19249462,      -7.828128989,      -13.14475374,      -2.738057593,   0.0002782971051,        0.13606851,       728.9048369,       728.9048369,       728.9048369,   1.105948019e-06,      0.1407497302,    -0.01261127538,                 0,                 0,                 0,    -0.06950197458,      0.1407497302,    -0.01261127538,                 0,    -0.08960070731,      0.3550741683,      -1095.632501,       94254.37866
          0,           0,          45,      -8.216852925,      -8.410882138,       -8.31089852,      -7.895616536,      -13.17114433,      -2.481894811,   0.0003061259192,      0.1496537164,       801.7953205,       801.7953205,       801.7953205,   1.105948019e-06,      0.5278711856,      -1.737319599,                 0,                 0,                 0,      -6.590779925,      0.5278711856,      -1.737319599,                 0,      -3.291180968,      0.3550741683,       -1092.17173,       93954.04201
          0,           0,          46,      -8.205076178,      -8.425667393,      -8.392159398,      -7.871917546,      -13.19518682,      -2.378829702,   0.0003367498749,      0.1646046324,       881.9748526,       881.9748526,       881.9748526,   1.105948019e-06,       1.598629528,     -0.7671703413,                 0,                 0,                 0,      -3.932112014,       1.598629528,     -0.7671703413,                 0,     -0.4798925128,      0.3550741683,      -1085.447257,       93372.98356
